PlantID PlantName Datetime Irradiance Speed10 Direction10 Temper Pressure Humidity
2356 光伏2356 "2022-04-29 00:00:00" 0.0000 0.9690 316.2545 25.1600 999.1500 94.3800
2356 光伏2356 "2022-04-29 00:15:00" 0.0000 0.9552 317.1211 25.1500 999.2300 94.2000
2356 光伏2356 "2022-04-29 00:30:00" 0.0000 0.9829 314.5878 25.1300 999.3400 94.0400
2356 光伏2356 "2022-04-29 00:45:00" 0.0000 1.0608 314.2361 25.0800 999.0900 94.0200
2356 光伏2356 "2022-04-29 01:00:00" 0.0000 1.3189 319.3045 25.0000 998.5600 94.0200
2356 光伏2356 "2022-04-29 01:15:00" 0.0000 1.4484 324.5543 24.9400 998.2600 94.0800
2356 光伏2356 "2022-04-29 01:30:00" 0.0000 1.4227 335.0561 24.8900 998.2200 94.1500
2356 光伏2356 "2022-04-29 01:45:00" 0.0000 1.2517 347.0740 24.8100 998.2400 94.3700
2356 光伏2356 "2022-04-29 02:00:00" 0.0000 1.5034 352.3550 23.8700 998.1300 0.0000
2356 光伏2356 "2022-04-29 02:15:00" 0.0000 1.1048 350.6229 24.3800 998.3500 0.0000
2356 光伏2356 "2022-04-29 02:30:00" 0.0000 1.8262 4.7115 24.5200 997.9700 0.0000
2356 光伏2356 "2022-04-29 02:45:00" 0.0000 2.1883 355.0189 24.7100 998.1400 0.0000
2356 光伏2356 "2022-04-29 03:00:00" 0.0000 1.9021 357.2880 24.7500 998.3400 89.4200
2356 光伏2356 "2022-04-29 03:15:00" 0.0000 2.2411 1.7899 24.7200 998.2600 90.2500
2356 光伏2356 "2022-04-29 03:30:00" 0.0000 2.6309 1.5246 24.7300 998.1800 90.1800
2356 光伏2356 "2022-04-29 03:45:00" 0.0000 2.7887 4.5248 24.8200 997.8600 89.3600
2356 光伏2356 "2022-04-29 04:00:00" 0.0000 2.4083 4.7636 24.4900 998.1500 91.2200
2356 光伏2356 "2022-04-29 04:15:00" 0.0000 1.8860 4.5618 24.4300 998.6000 91.5500
2356 光伏2356 "2022-04-29 04:30:00" 0.0000 1.2326 3.7213 24.3500 998.9900 91.9600
2356 光伏2356 "2022-04-29 04:45:00" 0.0000 0.9459 346.5514 24.2600 998.9300 92.4200
2356 光伏2356 "2022-04-29 05:00:00" 0.0000 0.5689 349.8753 24.1900 998.0500 0.0000
2356 光伏2356 "2022-04-29 05:15:00" 0.0000 0.4652 334.5367 23.6400 998.4600 0.0000
2356 光伏2356 "2022-04-29 05:30:00" 0.0000 0.4000 306.8699 23.5700 998.6200 0.0000
2356 光伏2356 "2022-04-29 05:45:00" 0.0000 0.6325 251.5651 23.4900 999.2800 0.0000
2356 光伏2356 "2022-04-29 06:00:00" 0.0000 0.9082 249.3701 23.4200 999.5800 99.3700
2356 光伏2356 "2022-04-29 06:15:00" 0.0000 0.9625 246.0979 23.4900 999.3900 101.0300
2356 光伏2356 "2022-04-29 06:30:00" 1.9800 1.1238 240.6978 23.5200 999.5600 100.5600
2356 光伏2356 "2022-04-29 06:45:00" 11.5600 1.3929 240.3061 23.7700 999.6200 100.2600
2356 光伏2356 "2022-04-29 07:00:00" 64.0600 1.5824 253.8557 24.2900 999.5500 98.1900
2356 光伏2356 "2022-04-29 07:15:00" 146.9600 1.8246 274.0856 24.6900 999.5800 95.2300
2356 光伏2356 "2022-04-29 07:30:00" 198.4800 1.7148 284.5225 25.0400 999.7800 93.0300
2356 光伏2356 "2022-04-29 07:45:00" 250.6000 1.4864 278.5117 25.4800 1000.0600 90.8300
2356 光伏2356 "2022-04-29 08:00:00" 0.0000 1.2640 329.5804 27.3800 999.5800 0.0000
2356 光伏2356 "2022-04-29 08:15:00" 355.6000 1.0617 299.9457 25.4000 999.3400 0.0000
2356 光伏2356 "2022-04-29 08:30:00" 402.8800 0.9386 284.1843 26.0500 999.7400 0.0000
2356 光伏2356 "2022-04-29 08:45:00" 451.9300 0.8205 272.0953 26.6800 1000.9600 0.0000
2356 光伏2356 "2022-04-29 09:00:00" 495.7100 0.8963 259.0662 27.1900 1000.9600 82.3300
2356 光伏2356 "2022-04-29 09:15:00" 536.9800 1.1183 231.9003 27.6300 1000.4600 80.0100
2356 光伏2356 "2022-04-29 09:30:00" 572.5200 1.3706 215.1975 28.0300 1000.3100 77.9700
2356 光伏2356 "2022-04-29 09:45:00" 577.6500 1.5521 211.0271 28.3900 1000.4700 76.1200
2356 光伏2356 "2022-04-29 10:00:00" 356.9400 1.5212 211.2867 28.5600 1000.4900 74.7700
2356 光伏2356 "2022-04-29 10:15:00" 245.5300 1.4521 216.3175 28.6200 1000.4300 74.0500
2356 光伏2356 "2022-04-29 10:30:00" 324.0600 1.3595 222.0185 28.8200 1000.2600 73.1200
2356 光伏2356 "2022-04-29 10:45:00" 280.9100 1.3669 221.7380 28.9400 1000.1400 72.0500
