UnitID UnitName PlantID PlantName IntegrationDate UnitCap Tilt Azimuth CellModel CellNum Vmp Lmp Voc Isc Pm
3048 #11 2356 光伏2356 "2017-01-18 00:00:00" 3980445.0000 17.0000 0.0000 JKM460M-7RL3-V 1589 43.0800 10.6800 51.7000 11.5000 460.0000
3049 #14 2356 光伏2356 "2017-01-18 00:00:00" 3980445.0000 17.0000 0.0000 JKM460M-7RL3-V 1589 43.0800 10.6800 51.7000 11.5400 460.0000
3050 #26 2356 光伏2356 "2017-01-18 00:00:00" 3980445.0000 17.0000 0.0000 JKM460M-7RL3-V 1589 43.0800 10.6800 51.7000 11.5400 460.0000
3051 #35 2356 光伏2356 "2017-01-18 00:00:00" 3980445.0000 17.0000 0.0000 JKM460M-7RL3-V 1589 43.0800 10.6800 51.7000 11.5000 460.0000
3052 #1 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3053 #2 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3054 #3 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3055 #12 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3056 #13 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3057 #15 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3058 #16 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3059 #18 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
