PlantID PlantName PlantType Datetime Perssure SeaPerssure PrecipitationHour GroundTemp Temp2 Humidity2 InstantSpeed10 InstantDirection10 PrecipitationDay Groundradiation Speed10 Direction10 Speed30 Direction30 Speed50 Direction50 Speed70 Direction70 Speed90 Direction90 Speed100 Direction100 HubSpeed HubDireciton
2356 光伏2356 1 "2022-08-08 00:00:00" 994.6400 1006.9700 0.0000 24.5100 25.1400 95.4000 0.6428 174.6442 0.0000 0.0000 0.6030 174.2894 0.4977 202.4428 0.5280 232.6961 0.6580 253.2174 0.8429 265.2364 0.9301 269.3839 null null
2356 光伏2356 1 "2022-08-08 00:15:00" 995.2400 1007.5800 0.0000 24.4800 25.1100 95.5400 0.3300 180.0000 0.0000 0.0000 0.3306 176.5318 0.2860 233.5308 0.4504 267.4552 0.6708 280.3048 0.8984 286.8214 1.0119 288.4349 null null
2356 光伏2356 1 "2022-08-08 00:30:00" 994.9300 1007.2600 0.0000 24.4300 25.0500 95.8300 0.1836 119.3578 0.0000 0.0000 0.1879 115.2011 0.1360 323.9726 0.4173 314.0290 0.6943 311.4965 0.9502 310.7321 1.0781 310.4860 null null
2356 光伏2356 1 "2022-08-08 00:45:00" 994.4900 1006.8200 0.0000 24.4000 24.9800 96.2200 0.3289 109.5367 0.0000 0.0000 0.2983 103.5704 0.1649 14.0362 0.4249 333.4349 0.7161 324.0903 1.0026 321.0725 1.1434 320.3228 null null
2356 光伏2356 1 "2022-08-08 01:00:00" 994.5600 1006.8900 0.0000 24.3300 24.9100 96.6100 0.3048 131.0091 0.0000 0.0000 0.2780 127.6942 0.0985 336.0375 0.4252 318.8141 0.7501 317.1611 1.0469 316.5482 1.2024 316.3479 null null
2356 光伏2356 1 "2022-08-08 01:15:00" 994.5100 1006.8400 0.0000 24.1900 24.8000 97.1200 0.4168 149.7436 0.0000 0.0000 0.3828 146.7251 0.0806 209.7449 0.3138 300.6507 0.6280 307.2348 0.9231 309.7261 1.0706 310.8335 null null
2356 光伏2356 1 "2022-08-08 01:30:00" 994.3100 1006.6500 0.0000 24.0800 24.6900 97.6700 0.5557 149.7436 0.0000 0.0000 0.5187 146.0035 0.2062 165.9638 0.1612 277.1250 0.4357 301.8660 0.7060 307.5191 0.8402 308.2338 null null
2356 光伏2356 1 "2022-08-08 01:45:00" 994.1500 1006.4800 0.0000 23.9700 24.5900 98.1100 0.5532 139.3987 0.0000 0.0000 0.5308 137.2906 0.2193 136.8476 0.0707 315.0000 0.3397 317.3859 0.6014 317.0214 0.7218 317.2457 null null
2356 光伏2356 1 "2022-08-08 02:00:00" 993.8900 1006.2000 0.0000 25.0200 25.0200 0.0000 0.1503 176.1859 0.0000 0.0000 0.1503 176.1859 0.2309 252.3499 0.4401 271.3020 0.6549 277.0165 0.8533 280.1247 0.9571 280.8403 null null
2356 光伏2356 1 "2022-08-08 02:15:00" 993.9400 1006.2600 0.0000 24.4400 25.0100 0.0000 0.1140 195.2551 0.0000 0.0000 0.1217 189.4623 0.2309 252.3499 0.4111 265.8151 0.5903 271.9415 0.7524 274.5739 0.8338 275.5055 null null
2356 光伏2356 1 "2022-08-08 02:30:00" 993.8900 1006.2100 0.0000 24.4100 25.0600 0.0000 0.1342 153.4349 0.0000 0.0000 0.1342 153.4349 0.1487 227.7263 0.2886 255.9638 0.4428 263.5169 0.5908 267.0892 0.6601 269.1319 null null
2356 光伏2356 1 "2022-08-08 02:45:00" 993.3900 1005.7100 0.0000 24.3500 25.0700 0.0000 0.0985 203.9625 0.0000 0.0000 0.1020 191.3099 0.2193 245.7723 0.3785 257.7995 0.5346 262.4762 0.6836 264.1226 0.7524 265.4261 null null
