PlantID PlantName Datetime Speed10 Direction10 Speed30 Direction30 Speed50 Direction50 Speed70 Direction70 Speed90 Direction90 Speed100 Direction100 Temper Pressure Humidity HubSpeed HubDireciton
1078 风电1078 "2022-05-02 08:00:00" 1.9285 167.1167 2.2638 170.0800 2.5951 172.0260 2.9077 173.6816 3.1235 174.6727 3.1235 174.6727 12.6700 926.9600 0.0000 3.1235 174.6727
1078 风电1078 "2022-05-02 08:15:00" 2.1936 164.1264 2.3585 164.2548 2.5014 164.4636 2.6470 164.4411 2.7391 164.5431 2.7391 164.5431 11.4600 927.0400 0.0000 2.7391 164.5431
1078 风电1078 "2022-05-02 08:30:00" 2.2314 165.4655 2.3938 165.7316 2.5491 165.6912 2.6922 165.8089 2.7843 165.8639 2.7843 165.8639 11.9500 927.0800 0.0000 2.7843 165.8639
1078 风电1078 "2022-05-02 08:45:00" 2.4302 166.1925 2.6146 166.2827 2.7892 166.3125 2.9518 166.4816 3.0440 166.5116 3.0440 166.5116 12.1800 926.8200 0.0000 3.0440 166.5116
1078 风电1078 "2022-05-02 09:00:00" 2.5170 170.1634 2.7093 170.2248 2.8918 170.2445 3.0628 170.4147 3.1647 170.3591 3.1647 170.3591 12.6900 926.9300 77.4200 3.1647 170.3591
1078 风电1078 "2022-05-02 09:15:00" 2.4596 172.7594 2.6494 173.0628 2.8206 173.0766 2.9806 173.2565 3.0811 173.2902 3.0811 173.2902 13.1000 927.0100 75.8100 3.0811 173.2902
1078 风电1078 "2022-05-02 09:30:00" 2.4035 176.8995 2.5838 176.8940 2.7635 177.0962 2.9239 177.0593 3.0037 177.1376 3.0037 177.1376 13.4900 926.8400 74.2100 3.0037 177.1376
1078 风电1078 "2022-05-02 09:45:00" 2.5200 180.0000 2.7200 180.2106 2.9101 180.3938 3.0901 180.3708 3.1401 180.5474 3.1401 180.5474 13.8900 926.4800 72.1600 3.1401 180.5474
1078 风电1078 "2022-05-02 10:00:00" 2.6412 181.7357 2.8518 182.0096 3.0520 182.0655 3.2422 182.1211 3.2926 182.2628 3.2926 182.2628 14.3000 926.3600 69.8400 3.2926 182.2628
1078 风电1078 "2022-05-02 10:15:00" 2.6561 183.8858 2.8770 183.9863 3.0779 184.0989 3.2788 184.1977 3.3194 184.3193 3.3194 184.3193 14.6700 926.3300 67.6900 3.3194 184.3193
1078 风电1078 "2022-05-02 10:30:00" 2.5688 186.9314 2.7809 187.0228 2.9744 187.3401 3.1667 187.4392 3.1964 187.3696 3.1964 187.3696 15.0000 926.2900 65.7900 3.1964 187.3696
1078 风电1078 "2022-05-02 10:45:00" 2.5599 188.7632 2.7735 188.9189 2.9675 189.1132 3.1499 189.1334 3.2009 189.1680 3.2009 189.1680 15.3300 926.4400 63.8200 3.2009 189.1680
1078 风电1078 "2022-05-02 11:00:00" 2.4776 189.9946 2.2459 190.2592 2.0358 190.7580 1.8258 191.3715 1.7357 191.6336 1.7357 191.6336 15.6100 927.0000 0.0000 1.7357 191.6336
1078 风电1078 "2022-05-02 11:15:00" 1.3630 183.7861 1.4542 184.3383 1.5455 184.8252 1.6269 185.2901 1.6568 185.1944 1.6568 185.1944 15.9700 926.7200 0.0000 1.6568 185.1944
1078 风电1078 "2022-05-02 11:30:00" 1.4916 182.6898 1.6025 183.2195 1.7029 183.3665 1.7940 183.8353 1.8140 183.7931 1.8140 183.7931 16.2100 926.3400 0.0000 1.8140 183.7931
1078 风电1078 "2022-05-02 11:45:00" 1.8233 183.4587 1.9543 183.8141 2.0747 183.8692 2.1958 184.1786 2.2265 184.3790 2.2265 184.3790 16.4500 926.5700 0.0000 2.2265 184.3790
1078 风电1078 "2022-05-02 12:00:00" 1.9956 184.3106 2.1476 184.8080 2.2888 185.0131 2.4200 185.2159 2.4499 185.1521 2.4499 185.1521 16.6100 926.4800 53.3500 2.4499 185.1521
1078 风电1078 "2022-05-02 12:15:00" 2.2418 185.8886 2.4140 186.1829 2.5764 186.4630 2.7388 186.7098 2.7487 186.6855 2.7487 186.6855 16.7400 926.2800 53.9900 2.7487 186.6855
1078 风电1078 "2022-05-02 12:30:00" 2.4793 188.8164 2.6847 189.2167 2.8688 189.4295 3.0512 189.4315 3.0529 189.6166 3.0529 189.6166 16.8300 926.1500 55.3400 3.0529 189.6166
1078 风电1078 "2022-05-02 12:45:00" 2.5731 191.6593 2.7889 191.7934 2.9872 192.1751 3.1737 192.3722 3.1737 192.3722 3.1737 192.3722 16.8900 926.0000 57.1300 3.1737 192.3722
1078 风电1078 "2022-05-02 13:00:00" 2.8380 190.5576 3.0752 190.8715 3.3007 191.0035 3.4968 191.2135 3.4968 191.2135 3.4968 191.2135 16.9300 925.9800 59.1400 3.4968 191.2135
1078 风电1078 "2022-05-02 13:15:00" 3.2811 191.0702 3.5595 191.3415 3.8164 191.4866 4.0420 191.5601 4.0420 191.5601 4.0420 191.5601 16.8100 925.8800 62.0900 4.0420 191.5601
