PlantID PlantName Datetime Speed10 Direction10 Speed30 Direction30 Speed50 Direction50 Speed70 Direction70 Speed90 Direction90 Speed100 Direction100 Temper Pressure Humidity HubSpeed HubDireciton
1078 风电1078 "2022-08-08 00:00:00" 2.1529 327.7125 2.3585 327.9946 2.5472 327.9946 2.7359 327.9946 2.9023 327.9528 2.9828 328.0150 24.5200 940.7800 67.8500 2.9828 328.0150
1078 风电1078 "2022-08-08 00:15:00" 2.4035 340.8112 2.5900 341.0754 2.7797 341.1088 2.9568 341.2587 3.1212 341.5070 3.1971 341.3950 24.9100 940.3400 65.2300 3.1971 341.3950
1078 风电1078 "2022-08-08 00:30:00" 2.1662 341.1468 2.3559 341.1805 2.5235 341.2779 2.6911 341.3631 2.8366 341.5012 2.9188 341.6271 24.0100 940.3700 69.8800 2.9188 341.6271
1078 风电1078 "2022-08-08 00:45:00" 1.3453 325.6012 1.4756 325.7715 1.5976 325.7131 1.7197 325.6631 1.8278 325.7014 1.8861 325.8044 23.7200 940.5900 71.3400 1.8861 325.8044
1078 风电1078 "2022-08-08 01:00:00" 1.1587 295.0169 1.2928 295.1775 1.4179 295.4807 1.5297 295.5600 1.6415 295.6284 1.6952 295.5069 23.4900 940.7800 72.4000 1.6952 295.5069
1078 风电1078 "2022-08-08 01:15:00" 1.4817 272.7079 1.6519 272.7758 1.8122 272.8466 1.9625 272.9207 2.1029 272.9985 2.1728 272.9019 23.8300 940.7500 71.6000 2.1728 272.9019
1078 风电1078 "2022-08-08 01:30:00" 1.7828 266.7845 1.9631 266.7878 2.1234 266.7603 2.2837 266.7367 2.4340 266.7027 2.5045 266.5664 24.1000 940.6500 70.6500 2.5045 266.5664
1078 风电1078 "2022-08-08 01:45:00" 1.6013 263.1856 1.7626 263.1572 1.9226 263.4294 2.0629 263.5985 2.2042 263.4876 2.2738 263.6876 24.4300 940.5600 69.8500 2.2738 263.6876
1078 风电1078 "2022-08-08 02:00:00" 0.7778 351.8699 0.9035 354.9204 1.0218 356.6335 1.1404 358.4926 1.2500 359.5416 1.3000 0.0000 22.9200 939.8400 0.0000 1.3000 0.0000
1078 风电1078 "2022-08-08 02:15:00" 0.8472 348.4248 0.9492 348.4533 1.0512 348.4763 1.1512 348.9829 1.2434 348.8708 1.2846 348.7775 22.9100 940.0200 0.0000 1.2846 348.7775
1078 风电1078 "2022-08-08 02:30:00" 0.9803 341.5651 1.1068 341.5651 1.2333 341.5651 1.3471 341.8340 1.4515 341.9395 1.5053 341.8058 23.1100 939.2900 0.0000 1.5053 341.8058
1078 风电1078 "2022-08-08 02:45:00" 0.8865 348.9436 1.0081 349.1359 1.1100 349.0950 1.2218 349.1499 1.3121 349.4608 1.3631 349.4320 23.1400 939.5900 0.0000 1.3631 349.4320
1078 风电1078 "2022-08-08 03:00:00" 0.9338 350.1342 1.0555 350.1807 1.1673 350.1342 1.2692 350.0182 1.3712 349.9194 1.4221 349.8753 22.9700 939.6600 78.3500 1.4221 349.8753
1078 风电1078 "2022-08-08 03:15:00" 0.9712 343.2443 1.1072 343.2016 1.2308 343.4791 1.3477 343.1786 1.4521 343.1874 1.5028 343.3738 22.7300 938.9900 78.9100 1.5028 343.3738
1078 风电1078 "2022-08-08 03:30:00" 1.0754 337.0113 1.2185 336.8014 1.3577 337.0231 1.4785 336.9032 1.5993 336.8014 1.6623 336.9824 22.7200 939.3700 78.9500 1.6623 336.9824
1078 风电1078 "2022-08-08 03:45:00" 1.0966 335.7723 1.2398 335.7090 1.3829 335.6589 1.5038 335.6506 1.6246 335.6436 1.6875 335.8651 22.6900 939.4700 79.0900 1.6875 335.8651
1078 风电1078 "2022-08-08 04:00:00" 1.2021 340.0576 1.3636 339.8374 1.5122 339.8874 1.6515 339.8094 1.7779 339.9343 1.8446 339.6984 22.6400 939.7400 79.6100 1.8446 339.6984
1078 风电1078 "2022-08-08 04:15:00" 1.3003 339.7534 1.4712 339.7174 1.6234 339.4440 1.7720 339.5196 1.9207 339.5836 1.9839 339.6468 22.5500 939.8100 80.4900 1.9839 339.6468
1078 风电1078 "2022-08-08 04:30:00" 1.3333 335.1648 1.4988 335.1448 1.6644 335.1287 1.8208 334.9831 1.9640 335.0007 2.0311 334.9490 22.4900 940.0300 81.3200 2.0311 334.9490
