PlantID Datetime Power
1078 "2022-05-01 00:00:00" 33.9711
1078 "2022-05-01 00:15:00" 43.3651
1078 "2022-05-01 00:30:00" 40.5466
1078 "2022-05-01 00:45:00" 32.5131
1078 "2022-05-01 01:00:00" 26.2269
1078 "2022-05-01 01:15:00" 25.8306
1078 "2022-05-01 01:30:00" 21.2477
1078 "2022-05-01 01:45:00" 9.0850
1078 "2022-05-01 02:00:00" 5.9892
1078 "2022-05-01 02:15:00" 11.4068
1078 "2022-05-01 02:30:00" 14.9854
1078 "2022-05-01 02:45:00" 24.1878
1078 "2022-05-01 03:00:00" 32.4257
1078 "2022-05-01 03:15:00" 35.7747
1078 "2022-05-01 03:30:00" 36.6667
1078 "2022-05-01 03:45:00" 30.3343
1078 "2022-05-01 04:00:00" 20.7043
1078 "2022-05-01 04:15:00" 21.5134
1078 "2022-05-01 04:30:00" 19.8451
1078 "2022-05-01 04:45:00" 30.0912
1078 "2022-05-01 05:00:00" 36.1737
1078 "2022-05-01 05:15:00" 38.4200
1078 "2022-05-01 05:30:00" 36.3039
1078 "2022-05-01 05:45:00" 35.0916
1078 "2022-05-01 06:00:00" 31.6961
1078 "2022-05-01 06:15:00" 32.0243
1078 "2022-05-01 06:30:00" 28.5600
1078 "2022-05-01 06:45:00" 35.8347
1078 "2022-05-01 07:00:00" 38.0245
1078 "2022-05-01 07:15:00" 38.7035
1078 "2022-05-01 07:30:00" 39.2385
1078 "2022-05-01 07:45:00" 30.9938
1078 "2022-05-01 08:00:00" 30.6160
1078 "2022-05-01 08:15:00" 32.2206
1078 "2022-05-01 08:30:00" 39.4760
1078 "2022-05-01 08:45:00" 45.3805
1078 "2022-05-01 09:00:00" 43.6661
1078 "2022-05-01 09:15:00" 42.0658
1078 "2022-05-01 09:30:00" 38.0258
1078 "2022-05-01 09:45:00" 33.6898
1078 "2022-05-01 10:00:00" 32.2418
1078 "2022-05-01 10:15:00" 30.2622
1078 "2022-05-01 10:30:00" 31.0794
1078 "2022-05-01 10:45:00" 35.8808
1078 "2022-05-01 11:00:00" 33.7346
1078 "2022-05-01 11:15:00" 33.2184
1078 "2022-05-01 11:30:00" 24.8044
1078 "2022-05-01 11:45:00" 27.8172
1078 "2022-05-01 12:00:00" 23.3262
1078 "2022-05-01 12:15:00" 25.5019
1078 "2022-05-01 12:30:00" 33.3388
1078 "2022-05-01 12:45:00" 30.9831
1078 "2022-05-01 13:00:00" 16.1959
1078 "2022-05-01 13:15:00" 20.0949
1078 "2022-05-01 13:30:00" 26.8360
1078 "2022-05-01 13:45:00" 29.4286
1078 "2022-05-01 14:00:00" 24.8993
1078 "2022-05-01 14:15:00" 32.2215
1078 "2022-05-01 14:30:00" 36.0634
1078 "2022-05-01 14:45:00" 38.8655
1078 "2022-05-01 15:00:00" 39.4237
1078 "2022-05-01 15:15:00" 37.1224
1078 "2022-05-01 15:30:00" 36.2918
1078 "2022-05-01 15:45:00" 33.7300
1078 "2022-05-01 16:00:00" 32.4712
1078 "2022-05-01 16:15:00" 29.6949
1078 "2022-05-01 16:30:00" 22.3234
1078 "2022-05-01 16:45:00" 22.0399
1078 "2022-05-01 17:00:00" 24.0950
1078 "2022-05-01 17:15:00" 25.1139
1078 "2022-05-01 17:30:00" 21.2979
1078 "2022-05-01 17:45:00" 13.8722
1078 "2022-05-01 18:00:00" 11.6039
1078 "2022-05-01 18:15:00" 11.8163
1078 "2022-05-01 18:30:00" 6.7359
1078 "2022-05-01 18:45:00" 9.3863
1078 "2022-05-01 19:00:00" 16.0542
1078 "2022-05-01 19:15:00" 32.2783
1078 "2022-05-01 19:30:00" 43.5076
1078 "2022-05-01 19:45:00" 49.3935
1078 "2022-05-01 20:00:00" 40.2611
1078 "2022-05-01 20:15:00" 32.2190
1078 "2022-05-01 20:30:00" 29.1581
1078 "2022-05-01 20:45:00" 23.7759
1078 "2022-05-01 21:00:00" 27.9886
1078 "2022-05-01 21:15:00" 15.7413
1078 "2022-05-01 21:30:00" 8.8360
1078 "2022-05-01 21:45:00" 11.3450
1078 "2022-05-01 22:00:00" 18.0917
1078 "2022-05-01 22:15:00" 13.6201
1078 "2022-05-01 22:30:00" 15.7256
1078 "2022-05-01 22:45:00" 20.9563
1078 "2022-05-01 23:00:00" 18.0087
