PlantID PlantName PlantType Datetime Perssure SeaPerssure PrecipitationHour GroundTemp Temp2 Humidity2 InstantSpeed10 InstantDirection10 PrecipitationDay Groundradiation Speed10 Direction10 Speed30 Direction30 Speed50 Direction50 Speed70 Direction70 Speed90 Direction90 Speed100 Direction100 HubSpeed HubDireciton
1078 风电1078 0 "2022-04-29 20:00:00" 924.3900 1016.1300 0.0000 287.9400 287.9400 0.0000 0.0800 -1.35 0.0000 0.0000 0.0800 -1.35 0.0100 -1.51 -0.0500 -1.65 -0.0700 -1.70 -0.0700 -1.70 -0.0700 -1.70 null null
1078 风电1078 0 "2022-04-29 20:15:00" 924.8300 1016.8000 0.0000 286.8100 286.7400 0.0000 0.0600 -1.06 0.0000 0.0000 0.0300 -1.15 0.0400 -1.31 0.0400 -1.46 0.0500 -1.54 0.0500 -1.54 0.0500 -1.54 null null
1078 风电1078 0 "2022-04-29 20:30:00" 924.4000 1016.3400 0.0000 286.7600 286.7900 0.0000 0.2000 -1.06 0.0000 0.0000 0.1500 -1.19 0.1800 -1.37 0.2100 -1.54 0.2100 -1.60 0.2100 -1.60 0.2100 -1.60 null null
1078 风电1078 0 "2022-04-29 20:45:00" 924.3200 1016.2500 0.0000 286.7100 286.8500 0.0000 -0.0500 -1.09 0.0000 0.0000 -0.1300 -1.25 -0.1500 -1.49 -0.1800 -1.71 -0.1800 -1.78 -0.1800 -1.78 -0.1800 -1.78 null null
1078 风电1078 0 "2022-04-29 21:00:00" 924.1600 1016.0800 0.0000 286.7000 287.0000 90.5200 -0.3600 -1.18 0.0000 0.0000 -0.4800 -1.38 -0.5900 -1.71 -0.6900 -2.02 -0.7200 -2.08 -0.7200 -2.08 -0.7200 -2.08 null null
1078 风电1078 0 "2022-04-29 21:15:00" 923.9700 1015.8600 0.0000 286.7500 287.2200 90.2500 -0.7700 -1.24 0.0000 0.0000 -0.9300 -1.43 -1.1800 -1.82 -1.4100 -2.19 -1.4300 -2.24 -1.4300 -2.24 -1.4300 -2.24 null null
1078 风电1078 0 "2022-04-29 21:30:00" 923.5200 1015.3600 0.0000 286.8100 287.4300 90.5400 -0.9400 -1.24 0.0000 0.0000 -1.1200 -1.43 -1.4700 -1.91 -1.7600 -2.32 -1.7600 -2.32 -1.7600 -2.32 -1.7600 -2.32 null null
1078 风电1078 0 "2022-04-29 21:45:00" 923.6000 1015.4600 0.0000 286.7800 287.4700 91.3300 -0.9700 -1.09 0.0000 0.0000 -1.1800 -1.30 -1.5600 -1.78 -1.9000 -2.20 -1.9000 -2.20 -1.9000 -2.20 -1.9000 -2.20 null null
1078 风电1078 0 "2022-04-29 22:00:00" 923.9300 1015.8200 0.0000 286.6900 287.3700 92.7300 -0.9900 -0.50 0.0000 0.0000 -1.2200 -0.70 -1.6500 -0.95 -2.0400 -1.18 -2.0700 -1.20 -2.0700 -1.20 -2.0700 -1.20 null null
1078 风电1078 0 "2022-04-29 22:15:00" 924.1800 1016.1100 0.0000 286.7100 287.4900 92.8200 -0.9200 0.14 0.0000 0.0000 -1.1000 -0.00 -1.5300 0.02 -1.9300 0.05 -2.0000 0.05 -2.0000 0.05 -2.0000 0.05 null null
